column_0,column_1,participant,trial,period
-8.668814,-59.13223,2,34,planning
16.292402,4.5279274,2,35,baseline
24.46745,14.314,2,35,feedback
-17.204496,-4.6909776,2,35,planning
25.185265,1.0727534,2,36,baseline
36.55463,24.260233,2,36,feedback
-45.91944,8.216639,2,36,planning
46.626858,11.773699,2,37,baseline
-5.987249,-48.154675,2,37,feedback
65.49233,39.083267,2,37,planning
7.9073553,16.472967,2,38,baseline
-19.047148,-12.5536995,2,38,feedback
68.805626,14.958983,2,38,planning
20.129456,19.96999,2,39,baseline
25.521437,14.067621,2,39,feedback
38.78322,-35.27476,2,39,planning
24.271912,-11.65086,2,40,baseline
-37.114334,36.1606,2,40,feedback
62.475204,-0.24247839,2,40,planning
46.486237,5.8887143,2,41,baseline
40.59718,-8.321584,2,41,feedback
17.503952,-27.078655,2,41,planning
34.571266,5.1567082,2,42,baseline
-46.897514,-15.641248,2,42,feedback
10.765442,62.70403,2,42,planning
-19.954777,16.085064,2,43,baseline
34.035248,35.87835,2,43,feedback
-58.71615,-9.43033,2,43,planning
60.73243,10.746987,2,44,baseline
-49.964703,7.631821,2,44,feedback
71.796265,25.917728,2,44,planning
-5.988243,15.950222,2,45,baseline
29.237448,8.1095915,2,45,feedback
68.07416,19.280985,2,45,planning
-32.46053,11.580942,2,46,baseline
-42.95194,-15.069996,2,46,feedback
-46.090733,-27.138617,2,46,planning
11.662808,-11.968129,2,47,baseline
-50.941235,-11.028422,2,47,feedback
-29.169998,-15.82686,2,47,planning
-44.895466,-2.791831,2,48,baseline
-36.043713,22.844416,2,48,feedback
-36.868202,-44.231075,2,48,planning
-13.630396,19.358868,2,49,baseline
-62.78753,13.035238,2,49,feedback
-57.074333,-16.983614,2,49,planning
-8.932765,24.252256,2,50,baseline
27.547089,-38.07386,2,50,feedback
51.1638,36.271496,2,50,planning
-19.408659,7.148738,2,51,baseline
-34.96729,-27.563541,2,51,feedback
-60.274666,12.00035,2,51,planning
-44.47877,-11.380416,2,52,baseline
22.420567,8.954403,2,52,feedback
-23.387882,17.845282,2,52,planning
12.186372,22.052233,2,53,baseline
-32.617016,29.275387,2,53,feedback
-12.536278,-25.823805,2,53,planning
35.791462,-9.308983,2,54,baseline
20.147802,-2.7231736,2,54,feedback
-8.311907,-57.147457,2,54,planning
12.284364,-15.082785,2,55,baseline
55.57349,2.2660506,2,55,feedback
-24.76599,-28.125917,2,55,planning
-7.899463,-26.697882,2,56,baseline
-38.414707,10.491167,2,56,feedback
-11.587293,-54.907482,2,56,planning
2.735779,-29.380493,2,57,baseline
-35.0092,12.760518,2,57,feedback
74.2065,10.862178,2,57,planning
45.441013,6.3063655,2,58,baseline
-10.66779,10.165016,2,58,feedback
-18.198332,-38.852455,2,58,planning
55.814342,4.171374,2,59,baseline
-16.207756,23.851702,2,59,feedback
7.7018967,17.868443,2,59,planning
27.397444,0.88956743,2,60,baseline
-7.8702564,-22.183321,2,60,feedback
-44.94262,-7.159597,2,60,planning
12.346894,-15.414503,2,61,baseline
38.77316,-27.71472,2,61,feedback
-13.695584,40.46835,2,61,planning
-28.416315,-6.4932003,2,62,baseline
-18.560387,-13.02299,2,62,feedback
-20.134514,62.798534,2,62,planning
-28.247879,-5.961735,2,63,baseline
-35.02413,-26.104988,2,63,feedback
-58.7991,-6.9250574,2,63,planning
-49.211983,10.262356,2,64,baseline
-16.304089,15.632852,2,64,feedback
7.711914,-23.759773,2,64,planning
2.3962924,-73.48831,2,65,baseline
42.004677,-3.4908586,2,65,feedback
-13.552297,-3.9749336,2,65,planning
82.424194,23.609673,2,66,baseline
32.207302,-35.952393,2,66,feedback
-41.539444,-30.434683,2,66,planning
-64.21022,-7.295909,2,67,baseline
10.207698,17.973751,2,67,feedback
30.219374,-37.672173,2,67,planning
17.83574,14.267393,2,68,baseline
-72.13591,14.633669,2,68,feedback
-72.48833,2.6397417,2,68,planning
12.5917015,-17.024832,2,69,baseline
-21.504375,-41.079483,2,69,feedback
-29.461025,-51.195606,2,69,planning
20.294226,4.6100864,2,70,baseline
-8.0906315,-44.63287,2,70,feedback
65.16988,17.863031,2,70,planning
-41.77699,-0.17332608,2,71,baseline
34.19318,-1.629021,2,71,feedback
-31.334007,-35.05688,2,71,planning
-40.100666,33.109142,2,72,baseline
30.584696,-48.98611,2,72,feedback
-68.12485,17.53415,2,72,planning
-68.460266,-1.5477375,2,73,baseline
48.493023,-35.08492,2,73,feedback
-28.013275,-28.634712,2,73,planning
10.803858,-16.454008,2,74,baseline
